Strain	interval	pH	Phase_size_order	Phase_mid_point	growth_rate	p_val	Rsqr
GS115	1	DGM	1	14,0016666666667	0,320234346721768	7,01692213123229e-21	0,708102880723158
I1G_A	1	DGM	1	13,9136111111111	0,312111901362816	1,93658338674525e-92	0,997172040708569
I1G_B	1	DGM	1	14,2680555555556	0,297294646726604	1,08478653958863e-60	0,977834534096691
I1G_C	1	DGM	1	13,8302777777778	0,299095032119532	1,74007613866729e-93	0,997357613909235
M1G_A	1	DGM	1	15,3916666666667	0,260111430606329	7,63369020849806e-73	0,989920897758439
I6G_C	1	DGM	1	14,8886111111111	0,278863733437073	3,4103290893493e-102	0,998497848879016
I6G_B	1	DGM	1	12,15	0,270952442454226	4,86545835450162e-97	0,997901531546036
I6G_A	1	DGM	1	14,5658333333333	0,281784429224996	1,83567945841955e-74	0,990925474603379
M1G_B	1	DGM	1	15,3330555555556	0,257349581765493	1,55581222586837e-56	0,970978268834111
M1G_C	1	DGM	1	15,3933333333333	0,259094652892993	3,70604871839598e-104	0,99867750520105
M6G_A	1	DGM	1	16,8963888888889	0,212571675873054	1,65358336780849e-48	0,951168473826953
M6G_B	1	DGM	1	17,5480555555556	0,212445888032427	1,53923863261788e-43	0,932616514384029
I1sS_C	1	DGM	1	12,4497222222222	0,262972736265124	3,98188825937195e-86	0,995741102330694
I1sS_B	1	DGM	1	14,9830555555556	0,258297634822637	9,99711768644591e-62	0,979273912291042
I1sS_A	1	DGM	1	15,0722222222222	0,254958392347561	5,51737655591818e-73	0,990012644486192
M6G_C	1	DGM	1	18,2836111111111	0,21157012602523	6,54960776308634e-93	0,997257092936019
M1S_A	1	DGM	1	14,8097222222222	0,274304074666545	4,21556342959072e-121	0,999559341844149
M1S_B	1	DGM	1	15,0455555555556	0,271422197166039	1,448391196077e-117	0,999445747536986
M1S_C	1	DGM	1	14,4572222222222	0,280775030064571	7,47273944255403e-121	0,999552178160587
M1sS_A	1	DGM	1	14,5169444444444	0,283595057651453	5,75753729305177e-126	0,999678581407507
M1sS_B	1	DGM	1	13,6047222222222	0,284273514323365	9,93312945300716e-48	0,948640734551743
I1S_C	1	DGM	1	13,8411111111111	0,259760119671321	1,76717896351648e-71	0,988988303346785
I1S_B	1	DGM	1	15,1080555555556	0,270177084971409	9,12995760432709e-117	0,999416244587799
I1S_A	1	DGM	1	13,165	0,284060544377985	4,33796225134867e-80	0,993699905727609
M1sS_C	1	DGM	1	15,1683333333333	0,260170778273207	1,91616335490326e-94	0,997516824170463
